Epoch [60/200], Train Loss: 0.0510, Train Accuracy: 0.9806, Val Loss: 0.0991, Val Accuracy: 0.9685, Time Taken: 410.64s
Epoch [61/200], Train Loss: 0.0495, Train Accuracy: 0.9814, Val Loss: 0.0756, Val Accuracy: 0.9706, Time Taken: 428.27s
Epoch [62/200], Train Loss: 0.0595, Train Accuracy: 0.9748, Val Loss: 0.0886, Val Accuracy: 0.9748, Time Taken: 429.74s
Epoch [63/200], Train Loss: 0.0521, Train Accuracy: 0.9800, Val Loss: 0.1123, Val Accuracy: 0.9685, Time Taken: 454.60s
Epoch [64/200], Train Loss: 0.0645, Train Accuracy: 0.9764, Val Loss: 0.1143, Val Accuracy: 0.9622, Time Taken: 468.98s
Epoch [65/200], Train Loss: 0.0556, Train Accuracy: 0.9798, Val Loss: 0.1395, Val Accuracy: 0.9538, Time Taken: 598.28s
Epoch [66/200], Train Loss: 0.0480, Train Accuracy: 0.9835, Val Loss: 0.1447, Val Accuracy: 0.9601, Time Taken: 587.15s
Epoch [67/200], Train Loss: 0.0439, Train Accuracy: 0.9827, Val Loss: 0.0976, Val Accuracy: 0.9685, Time Taken: 482.43s
Epoch [68/200], Train Loss: 0.0482, Train Accuracy: 0.9814, Val Loss: 0.0909, Val Accuracy: 0.9622, Time Taken: 454.68s
Epoch [69/200], Train Loss: 0.0521, Train Accuracy: 0.9803, Val Loss: 0.0880, Val Accuracy: 0.9727, Time Taken: 431.97s
Epoch [70/200], Train Loss: 0.0495, Train Accuracy: 0.9808, Val Loss: 0.1628, Val Accuracy: 0.9496, Time Taken: 427.26s
Epoch [71/200], Train Loss: 0.0473, Train Accuracy: 0.9832, Val Loss: 0.1051, Val Accuracy: 0.9622, Time Taken: 443.66s
Epoch [72/200], Train Loss: 0.0486, Train Accuracy: 0.9814, Val Loss: 0.1212, Val Accuracy: 0.9517, Time Taken: 436.21s
Epoch [73/200], Train Loss: 0.0463, Train Accuracy: 0.9808, Val Loss: 0.0999, Val Accuracy: 0.9706, Time Taken: 416.36s
Epoch [74/200], Train Loss: 0.0424, Train Accuracy: 0.9842, Val Loss: 0.0946, Val Accuracy: 0.9748, Time Taken: 424.05s
Epoch [75/200], Train Loss: 0.0493, Train Accuracy: 0.9811, Val Loss: 0.1072, Val Accuracy: 0.9685, Time Taken: 413.46s
Epoch [76/200], Train Loss: 0.0375, Train Accuracy: 0.9850, Val Loss: 0.1426, Val Accuracy: 0.9643, Time Taken: 422.24s
Epoch [77/200], Train Loss: 0.0365, Train Accuracy: 0.9863, Val Loss: 0.0835, Val Accuracy: 0.9790, Time Taken: 416.14s
Epoch [78/200], Train Loss: 0.0344, Train Accuracy: 0.9898, Val Loss: 0.1215, Val Accuracy: 0.9601, Time Taken: 417.30s
Epoch [79/200], Train Loss: 0.0446, Train Accuracy: 0.9827, Val Loss: 0.1106, Val Accuracy: 0.9685, Time Taken: 415.14s
Epoch [80/200], Train Loss: 0.0368, Train Accuracy: 0.9879, Val Loss: 0.0699, Val Accuracy: 0.9811, Time Taken: 425.38s
Epoch [81/200], Train Loss: 0.0421, Train Accuracy: 0.9856, Val Loss: 0.0885, Val Accuracy: 0.9769, Time Taken: 411.92s
Epoch [82/200], Train Loss: 0.0383, Train Accuracy: 0.9863, Val Loss: 0.1087, Val Accuracy: 0.9622, Time Taken: 412.76s
Epoch [83/200], Train Loss: 0.0446, Train Accuracy: 0.9837, Val Loss: 0.0999, Val Accuracy: 0.9685, Time Taken: 415.64s
Epoch [84/200], Train Loss: 0.0451, Train Accuracy: 0.9842, Val Loss: 0.1039, Val Accuracy: 0.9706, Time Taken: 416.34s
Epoch [85/200], Train Loss: 0.0443, Train Accuracy: 0.9829, Val Loss: 0.1063, Val Accuracy: 0.9601, Time Taken: 429.09s
Epoch [86/200], Train Loss: 0.0429, Train Accuracy: 0.9840, Val Loss: 0.1141, Val Accuracy: 0.9559, Time Taken: 411.54s
Epoch [87/200], Train Loss: 0.0378, Train Accuracy: 0.9853, Val Loss: 0.1082, Val Accuracy: 0.9580, Time Taken: 407.51s
