No checkpoint found, starting fresh training
Epoch [123/200], Train Loss: 0.4702, Train Accuracy: 0.7807, Val Loss: 0.4438, Val Accuracy: 0.7983, Time Taken: 425.29s
Epoch [124/200], Train Loss: 0.4727, Train Accuracy: 0.7867, Val Loss: 0.5006, Val Accuracy: 0.7836, Time Taken: 421.70s
Epoch [125/200], Train Loss: 0.4557, Train Accuracy: 0.7896, Val Loss: 0.4495, Val Accuracy: 0.7920, Time Taken: 421.13s
Epoch [126/200], Train Loss: 0.4755, Train Accuracy: 0.7775, Val Loss: 0.4446, Val Accuracy: 0.8130, Time Taken: 420.31s
Epoch [127/200], Train Loss: 0.4711, Train Accuracy: 0.7725, Val Loss: 0.4678, Val Accuracy: 0.7857, Time Taken: 417.87s
Epoch [128/200], Train Loss: 0.4683, Train Accuracy: 0.7828, Val Loss: 0.4721, Val Accuracy: 0.7647, Time Taken: 417.15s
Epoch [129/200], Train Loss: 0.4656, Train Accuracy: 0.7809, Val Loss: 0.4788, Val Accuracy: 0.7878, Time Taken: 416.66s
Epoch [130/200], Train Loss: 0.4697, Train Accuracy: 0.7794, Val Loss: 0.4909, Val Accuracy: 0.7605, Time Taken: 415.92s
Epoch [131/200], Train Loss: 0.4752, Train Accuracy: 0.7728, Val Loss: 0.4642, Val Accuracy: 0.7962, Time Taken: 418.16s
Epoch [132/200], Train Loss: 0.4720, Train Accuracy: 0.7681, Val Loss: 0.4897, Val Accuracy: 0.7731, Time Taken: 421.70s
Epoch [133/200], Train Loss: 0.4763, Train Accuracy: 0.7788, Val Loss: 0.4653, Val Accuracy: 0.7794, Time Taken: 418.88s
Epoch [134/200], Train Loss: 0.4676, Train Accuracy: 0.7799, Val Loss: 0.4678, Val Accuracy: 0.7857, Time Taken: 418.33s
Epoch [135/200], Train Loss: 0.4742, Train Accuracy: 0.7725, Val Loss: 0.4589, Val Accuracy: 0.7899, Time Taken: 417.06s
Epoch [136/200], Train Loss: 0.4741, Train Accuracy: 0.7817, Val Loss: 0.4672, Val Accuracy: 0.7836, Time Taken: 427.58s
Epoch [137/200], Train Loss: 0.4573, Train Accuracy: 0.7820, Val Loss: 0.4611, Val Accuracy: 0.7962, Time Taken: 421.08s
