Epoch [86/200], Train Loss: 0.0362, Train Accuracy: 0.9900, Val Loss: 0.0874, Val Accuracy: 0.9727, Time Taken: 271.87s
Epoch [87/200], Train Loss: 0.0370, Train Accuracy: 0.9874, Val Loss: 0.0828, Val Accuracy: 0.9727, Time Taken: 273.56s
Epoch [88/200], Train Loss: 0.0375, Train Accuracy: 0.9871, Val Loss: 0.0938, Val Accuracy: 0.9580, Time Taken: 272.27s
Epoch [89/200], Train Loss: 0.0357, Train Accuracy: 0.9866, Val Loss: 0.1058, Val Accuracy: 0.9664, Time Taken: 272.73s
Epoch [90/200], Train Loss: 0.0386, Train Accuracy: 0.9871, Val Loss: 0.0900, Val Accuracy: 0.9790, Time Taken: 275.93s
Epoch [91/200], Train Loss: 0.0308, Train Accuracy: 0.9903, Val Loss: 0.0931, Val Accuracy: 0.9727, Time Taken: 265.11s
Epoch [92/200], Train Loss: 0.0316, Train Accuracy: 0.9898, Val Loss: 0.0819, Val Accuracy: 0.9643, Time Taken: 265.05s
Epoch [93/200], Train Loss: 0.0357, Train Accuracy: 0.9882, Val Loss: 0.0854, Val Accuracy: 0.9706, Time Taken: 268.67s
Epoch [94/200], Train Loss: 0.0336, Train Accuracy: 0.9890, Val Loss: 0.0804, Val Accuracy: 0.9727, Time Taken: 268.10s
Epoch [95/200], Train Loss: 0.0299, Train Accuracy: 0.9911, Val Loss: 0.0981, Val Accuracy: 0.9559, Time Taken: 265.83s
Epoch [96/200], Train Loss: 0.0365, Train Accuracy: 0.9866, Val Loss: 0.0989, Val Accuracy: 0.9685, Time Taken: 264.05s
Epoch [97/200], Train Loss: 0.0270, Train Accuracy: 0.9919, Val Loss: 0.1184, Val Accuracy: 0.9559, Time Taken: 268.44s
Epoch [98/200], Train Loss: 0.0315, Train Accuracy: 0.9905, Val Loss: 0.1163, Val Accuracy: 0.9643, Time Taken: 267.65s
Epoch [99/200], Train Loss: 0.0394, Train Accuracy: 0.9869, Val Loss: 0.1044, Val Accuracy: 0.9643, Time Taken: 268.30s
Epoch [100/200], Train Loss: 0.0366, Train Accuracy: 0.9887, Val Loss: 0.0944, Val Accuracy: 0.9706, Time Taken: 269.67s
Epoch [101/200], Train Loss: 0.0326, Train Accuracy: 0.9892, Val Loss: 0.0986, Val Accuracy: 0.9706, Time Taken: 269.05s
Epoch [102/200], Train Loss: 0.0326, Train Accuracy: 0.9898, Val Loss: 0.0930, Val Accuracy: 0.9643, Time Taken: 267.68s
Epoch [103/200], Train Loss: 0.0345, Train Accuracy: 0.9892, Val Loss: 0.1007, Val Accuracy: 0.9622, Time Taken: 277.60s
